,start_position,end_position,measure,bytes_processed
0,0.0,100000.0,0.0,0.0
1,100000.0,200000.0,0.0,0.0
2,200000.0,300000.0,0.0,0.0
3,300000.0,400000.0,0.0,0.0
4,400000.0,500000.0,0.0,0.0
5,500000.0,600000.0,0.0,0.0
6,600000.0,700000.0,0.0,0.0
7,700000.0,800000.0,0.0,0.0
8,800000.0,900000.0,0.0,0.0
9,900000.0,1000000.0,0.0,0.0
10,1000000.0,1100000.0,0.0,0.0
11,1100000.0,1200000.0,0.0,0.0
12,1200000.0,1300000.0,0.0,0.0
13,1300000.0,1400000.0,0.0,0.0
14,1400000.0,1500000.0,0.0,0.0
15,1500000.0,1600000.0,0.0,0.0
16,1600000.0,1700000.0,0.0,0.0
17,1700000.0,1800000.0,0.0,0.0
18,1800000.0,1900000.0,0.0,0.0
19,1900000.0,2000000.0,0.0,0.0
20,2000000.0,2100000.0,0.0,0.0
21,2100000.0,2200000.0,0.0,0.0
22,2200000.0,2300000.0,0.0,0.0
23,2300000.0,2400000.0,0.0,0.0
24,2400000.0,2500000.0,0.0,0.0
25,2500000.0,2600000.0,0.0,0.0
26,2600000.0,2700000.0,0.0,0.0
27,2700000.0,2800000.0,1004.0,22080.0
28,2800000.0,2900000.0,5775.0,106736.0
29,2900000.0,3000000.0,6419.0,116976.0
30,3000000.0,3100000.0,5598.0,106352.0
31,3100000.0,3200000.0,5326.0,96400.0
32,3200000.0,3300000.0,5593.0,104016.0
33,3300000.0,3400000.0,5303.0,98800.0
34,3400000.0,3500000.0,5423.0,99704.0
35,3500000.0,3600000.0,5790.0,104576.0
36,3600000.0,3700000.0,6091.0,112176.0
37,3700000.0,3800000.0,5997.0,113664.0
38,3800000.0,3900000.0,5367.0,103360.0
39,3900000.0,4000000.0,5892.0,108992.0
40,4000000.0,4100000.0,6220.0,114080.0
41,4100000.0,4200000.0,5617.0,107488.0
42,4200000.0,4300000.0,5865.0,109824.0
43,4300000.0,4400000.0,6272.0,116016.0
44,4400000.0,4500000.0,6159.0,114192.0
45,4500000.0,4600000.0,5611.0,104784.0
46,4600000.0,4700000.0,5619.0,103488.0
47,4700000.0,4800000.0,5844.0,107440.0
48,4800000.0,4900000.0,6267.0,114240.0
49,4900000.0,5000000.0,6498.0,118720.0
50,5000000.0,5100000.0,5807.0,112832.0
51,5100000.0,5200000.0,6163.0,113728.0
52,5200000.0,5300000.0,6100.0,112368.0
53,5300000.0,5400000.0,7036.0,131008.0
54,5400000.0,5500000.0,6048.0,110512.0
55,5500000.0,5600000.0,5855.0,112032.0
56,5600000.0,5700000.0,5928.0,108400.0
57,5700000.0,5800000.0,5548.0,101648.0
58,5800000.0,5900000.0,5582.0,104080.0
59,5900000.0,6000000.0,6090.0,99024.0
60,6000000.0,6100000.0,5848.0,106560.0
61,6100000.0,6200000.0,7407.0,132016.0
62,6200000.0,6300000.0,5377.0,100800.0
63,6300000.0,6400000.0,2126.0,41192.0
64,6400000.0,6500000.0,2387.0,42016.0
65,6500000.0,6600000.0,5809.0,109288.0
66,6600000.0,6700000.0,5087.0,93160.0
67,6700000.0,6800000.0,5233.0,87576.0
68,6800000.0,6900000.0,6527.0,118064.0
69,6900000.0,7000000.0,5938.0,108672.0
70,7000000.0,7100000.0,6276.0,118896.0
71,7100000.0,7200000.0,7103.0,127504.0
72,7200000.0,7300000.0,6887.0,127136.0
73,7300000.0,7400000.0,6516.0,124384.0
74,7400000.0,7500000.0,6563.0,122416.0
75,7500000.0,7600000.0,6691.0,126760.0
76,7600000.0,7700000.0,5519.0,102400.0
77,7700000.0,7800000.0,5950.0,109936.0
78,7800000.0,7900000.0,6278.0,115296.0
