,start_position,end_position,measure,bytes_processed
0,0.0,100000.0,4761.0,86120.0
1,100000.0,200000.0,29470.0,563560.0
2,200000.0,300000.0,33756.0,705976.0
3,300000.0,400000.0,37553.0,755560.0
4,400000.0,500000.0,16345.0,392624.0
5,500000.0,600000.0,32071.0,539872.0
6,600000.0,700000.0,27582.0,577296.0
7,700000.0,800000.0,30780.0,636560.0
8,800000.0,900000.0,34957.0,714472.0
9,900000.0,1000000.0,32498.0,663608.0
10,1000000.0,1100000.0,33071.0,567488.0
11,1100000.0,1200000.0,31342.0,642016.0
12,1200000.0,1300000.0,36427.0,727600.0
13,1300000.0,1400000.0,35281.0,728760.0
14,1400000.0,1500000.0,34261.0,680240.0
15,1500000.0,1600000.0,28803.0,504992.0
16,1600000.0,1700000.0,31384.0,648064.0
17,1700000.0,1800000.0,31248.0,669776.0
18,1800000.0,1900000.0,26872.0,575648.0
19,1900000.0,2000000.0,29823.0,605056.0
20,2000000.0,2100000.0,27806.0,472144.0
21,2100000.0,2200000.0,26620.0,532640.0
22,2200000.0,2300000.0,26989.0,546208.0
23,2300000.0,2400000.0,28102.0,588112.0
24,2400000.0,2500000.0,30916.0,634016.0
25,2500000.0,2600000.0,32149.0,549840.0
26,2600000.0,2700000.0,28910.0,590208.0
27,2700000.0,2800000.0,29570.0,621104.0
28,2800000.0,2900000.0,30547.0,611200.0
29,2900000.0,3000000.0,27281.0,562528.0
30,3000000.0,3100000.0,25117.0,429864.0
31,3100000.0,3200000.0,26899.0,528416.0
32,3200000.0,3300000.0,24299.0,497872.0
33,3300000.0,3400000.0,29579.0,581312.0
34,3400000.0,3500000.0,23341.0,519504.0
35,3500000.0,3600000.0,32296.0,552096.0
36,3600000.0,3700000.0,29526.0,604072.0
37,3700000.0,3800000.0,29114.0,590792.0
38,3800000.0,3900000.0,27389.0,580832.0
39,3900000.0,4000000.0,28614.0,572128.0
40,4000000.0,4100000.0,24139.0,411872.0
41,4100000.0,4200000.0,25997.0,534128.0
42,4200000.0,4300000.0,25420.0,520784.0
43,4300000.0,4400000.0,28343.0,609824.0
44,4400000.0,4500000.0,32102.0,636696.0
45,4500000.0,4600000.0,28750.0,491808.0
46,4600000.0,4700000.0,28878.0,592896.0
47,4700000.0,4800000.0,29607.0,603744.0
48,4800000.0,4900000.0,28537.0,598952.0
49,4900000.0,5000000.0,27992.0,572256.0
50,5000000.0,5100000.0,29005.0,496960.0
51,5100000.0,5200000.0,24415.0,505392.0
52,5200000.0,5300000.0,29049.0,594928.0
53,5300000.0,5400000.0,26390.0,543296.0
54,5400000.0,5500000.0,23683.0,496656.0
55,5500000.0,5600000.0,22418.0,387328.0
56,5600000.0,5700000.0,23261.0,471616.0
57,5700000.0,5800000.0,24794.0,503008.0
58,5800000.0,5900000.0,30466.0,610880.0
59,5900000.0,6000000.0,23342.0,486144.0
60,6000000.0,6100000.0,22643.0,389344.0
61,6100000.0,6200000.0,24781.0,507024.0
62,6200000.0,6300000.0,26603.0,576480.0
63,6300000.0,6400000.0,25323.0,526560.0
64,6400000.0,6500000.0,26824.0,542528.0
65,6500000.0,6600000.0,25768.0,436832.0
66,6600000.0,6700000.0,22200.0,453728.0
67,6700000.0,6800000.0,24196.0,492608.0
68,6800000.0,6900000.0,21331.0,469360.0
69,6900000.0,7000000.0,25317.0,517056.0
70,7000000.0,7100000.0,27016.0,460848.0
71,7100000.0,7200000.0,30029.0,602800.0
72,7200000.0,7300000.0,27553.0,578544.0
73,7300000.0,7400000.0,26471.0,546240.0
74,7400000.0,7500000.0,26361.0,554032.0
75,7500000.0,7600000.0,28822.0,493232.0
76,7600000.0,7700000.0,29679.0,578336.0
77,7700000.0,7800000.0,25329.0,533280.0
78,7800000.0,7900000.0,24495.0,489112.0
79,7900000.0,8000000.0,22171.0,448080.0
80,8000000.0,8100000.0,24238.0,417408.0
81,8100000.0,8200000.0,30256.0,607752.0
82,8200000.0,8300000.0,27751.0,577616.0
83,8300000.0,8400000.0,25753.0,532576.0
84,8400000.0,8500000.0,24942.0,498832.0
85,8500000.0,8600000.0,21733.0,371168.0
86,8600000.0,8700000.0,24471.0,507776.0
87,8700000.0,8800000.0,24544.0,506288.0
88,8800000.0,8900000.0,23583.0,478480.0
